Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/11/16, 14:54:49, 53.201393, -4.205828, 58.05,  82908.00, 53, 0, 23.61, 1
2017/11/16, 14:54:51, 53.201649, -4.205321, 58.06,  74520.00, 49, 0, 44.17, 1
2017/11/16, 14:54:52, 53.201813, -4.205184, 59.30,  72756.00, 42, 0, 20.39, 1
2017/11/16, 14:54:54, 53.202145, -4.204982, 61.15,  65988.00, 24, 0, 39.29, 1
2017/11/16, 14:54:55, 53.202305, -4.204935, 62.51,  64260.00, 22, 0, 18.06, 1
2017/11/16, 14:54:56, 53.202457, -4.204828, 61.83,  65808.00, 28, 0, 18.34, 1
2017/11/16, 14:54:57, 53.202595, -4.204678, 62.53,  68076.00, 31, 0, 18.31, 1
2017/11/16, 14:54:58, 53.202732, -4.204516, 62.83,  72036.00, 34, 0, 18.67, 1
2017/11/16, 14:54:59, 53.202858, -4.204306, 63.33,  72396.00, 41, 0, 19.80, 1
2017/11/16, 14:55:00, 53.202972, -4.204068, 63.45,  70236.00, 46, 0, 20.30, 1
2017/11/16, 14:55:01, 53.203083, -4.203859, 64.20,  67284.00, 47, 0, 18.60, 1
2017/11/16, 14:55:03, 53.203289, -4.203419, 66.33,  68148.00, 53, 0, 37.20, 1
2017/11/16, 14:55:04, 53.203369, -4.203173, 67.67,  68040.00, 56, 0, 18.64, 1
2017/11/16, 14:55:05, 53.203442, -4.202901, 68.22,  72900.00, 61, 0, 19.85, 1
2017/11/16, 14:55:06, 53.203537, -4.202625, 67.99,  71496.00, 58, 0, 21.20, 1
2017/11/16, 14:55:07, 53.203632, -4.202364, 67.77,  75816.00, 56, 0, 20.34, 1
2017/11/16, 14:55:08, 53.203743, -4.202098, 67.89,  76032.00, 54, 0, 21.59, 1
2017/11/16, 14:55:09, 53.203861, -4.201849, 68.82,  73836.00, 51, 0, 21.15, 1
2017/11/16, 14:55:10, 53.203999, -4.201631, 68.47,  74844.00, 47, 0, 21.13, 1
2017/11/16, 14:55:12, 53.204266, -4.201144, 68.27,  79632.00, 45, 0, 43.97, 1
2017/11/16, 14:55:13, 53.204407, -4.200937, 68.05,  75564.00, 43, 0, 20.88, 1
2017/11/16, 14:55:14, 53.204544, -4.200757, 67.84,  69300.00, 40, 0, 19.39, 1
2017/11/16, 14:55:15, 53.204685, -4.200592, 68.00,  69408.00, 36, 0, 19.15, 1
2017/11/16, 14:55:16, 53.204834, -4.200447, 68.30,  68328.00, 39, 0, 19.18, 1
2017/11/16, 14:55:18, 53.205090, -4.200044, 69.16,  73080.00, 48, 0, 39.12, 1
2017/11/16, 14:55:19, 53.205219, -4.199831, 69.08,  74160.00, 48, 0, 20.17, 1
2017/11/16, 14:55:20, 53.205349, -4.199587, 69.23,  78372.00, 48, 0, 21.75, 1
2017/11/16, 14:55:21, 53.205482, -4.199342, 67.81,  79056.00, 48, 0, 22.02, 1
